company_id,from_year,from_pattern,to_year,to_pattern
CIPLA,2019,Reinvestor,2020,Liquidating Assets
CIPLA,2020,Liquidating Assets,2021,Reinvestor
COALINDIA,2013,Reinvestor,2014,Liquidating Assets
COALINDIA,2017,Liquidating Assets,2018,Reinvestor
COALINDIA,2019,Reinvestor,2020,Liquidating Assets
COALINDIA,2021,Liquidating Assets,2022,Reinvestor
DABUR,2018,Reinvestor,2019,Liquidating Assets
DABUR,2019,Liquidating Assets,2020,Reinvestor
DIVISLAB,2016,Reinvestor,2017,Shareholder Returns
DIVISLAB,2017,Shareholder Returns,2018,Reinvestor
DIVISLAB,2020,Reinvestor,2021,Liquidating Assets
DIVISLAB,2021,Liquidating Assets,2022,Reinvestor
DLF,2015,Liquidating Assets,2016,Reinvestor
DLF,2016,Reinvestor,2017,Distress Signal
DLF,2017,Distress Signal,2018,Reinvestor
DLF,2018,Reinvestor,2019,Growth + Debt
DLF,2019,Growth + Debt,2020,Liquidating Assets
DLF,2022,Liquidating Assets,2023,Reinvestor
DLF,2023,Reinvestor,2024,Shareholder Returns
DMART,2017,Shareholder Returns,2018,Liquidating Assets
DMART,2018,Liquidating Assets,2019,Shareholder Returns
DMART,2020,Shareholder Returns,2021,Reinvestor
EICHERMOT,2016,Reinvestor,2017,Shareholder Returns
EICHERMOT,2017,Shareholder Returns,2018,Reinvestor
GAIL,2013,Shareholder Returns,2014,Reinvestor
GAIL,2019,Reinvestor,2020,Shareholder Returns
GAIL,2020,Shareholder Returns,2021,Reinvestor
GAIL,2022,Reinvestor,2023,Shareholder Returns
GAIL,2023,Shareholder Returns,2024,Reinvestor
GODREJCP,2013,Shareholder Returns,2014,Reinvestor
GODREJCP,2016,Reinvestor,2017,Shareholder Returns
GODREJCP,2017,Shareholder Returns,2018,Reinvestor
GODREJCP,2018,Reinvestor,2019,Liquidating Assets
GODREJCP,2019,Liquidating Assets,2020,Reinvestor
GODREJCP,2023,Reinvestor,2024,Shareholder Returns
GRASIM,2013,Shareholder Returns,2014,Reinvestor
GRASIM,2017,Reinvestor,2018,Distress Signal
GRASIM,2018,Distress Signal,2019,Mixed
GRASIM,2019,Mixed,2020,Reinvestor
GRASIM,2022,Reinvestor,2023,Mixed
HAL,2018,Pre-Revenue Growth,2019,Distress Signal
HAL,2019,Distress Signal,2020,Shareholder Returns
HAL,2020,Shareholder Returns,2021,Reinvestor
HAVELLS,2018,Reinvestor,2019,Liquidating Assets
HAVELLS,2019,Liquidating Assets,2020,Reinvestor
HAVELLS,2020,Reinvestor,2021,Shareholder Returns
HAVELLS,2021,Shareholder Returns,2022,Reinvestor
HAVELLS,2022,Reinvestor,2023,Liquidating Assets
HAVELLS,2023,Liquidating Assets,2024,Reinvestor
HCLTECH,2021,Reinvestor,2022,Liquidating Assets
HCLTECH,2022,Liquidating Assets,2023,Reinvestor
HDFCBANK,2013,Mixed,2014,Shareholder Returns
HDFCBANK,2014,Shareholder Returns,2015,Mixed
HDFCBANK,2016,Mixed,2017,Reinvestor
HDFCBANK,2017,Reinvestor,2018,Shareholder Returns
HDFCBANK,2018,Shareholder Returns,2019,Mixed
HDFCBANK,2020,Mixed,2021,Reinvestor
HDFCBANK,2021,Reinvestor,2022,Mixed
HDFCBANK,2022,Mixed,2023,Shareholder Returns
HDFCBANK,2023,Shareholder Returns,2024,Liquidating Assets
HDFCLIFE,2014,Mixed,2015,Reinvestor
HDFCLIFE,2019,Reinvestor,2020,Shareholder Returns
HDFCLIFE,2021,Shareholder Returns,2022,Reinvestor
HDFCLIFE,2022,Reinvestor,2023,Shareholder Returns
HDFCLIFE,2023,Shareholder Returns,2024,Reinvestor
HEROMOTOCO,2014,Reinvestor,2015,Liquidating Assets
HEROMOTOCO,2015,Liquidating Assets,2016,Reinvestor
HEROMOTOCO,2018,Reinvestor,2019,Liquidating Assets
HEROMOTOCO,2019,Liquidating Assets,2020,Reinvestor
HINDALCO,2014,Shareholder Returns,2015,Reinvestor
HINDALCO,2017,Reinvestor,2018,Liquidating Assets
HINDALCO,2018,Liquidating Assets,2019,Reinvestor
HINDALCO,2019,Reinvestor,2020,Shareholder Returns
HINDALCO,2020,Shareholder Returns,2021,Reinvestor
HINDUNILVR,2013,Liquidating Assets,2014,Reinvestor
HINDUNILVR,2014,Reinvestor,2015,Liquidating Assets
HINDUNILVR,2015,Liquidating Assets,2016,Reinvestor
HINDUNILVR,2019,Reinvestor,2020,Liquidating Assets
HINDUNILVR,2020,Liquidating Assets,2021,Reinvestor
ICICIBANK,2014,Shareholder Returns,2015,Mixed
ICICIBANK,2015,Mixed,2016,Shareholder Returns
ICICIBANK,2016,Shareholder Returns,2017,Reinvestor
ICICIBANK,2017,Reinvestor,2018,Shareholder Returns
ICICIBANK,2018,Shareholder Returns,2019,Reinvestor
ICICIBANK,2019,Reinvestor,2020,Shareholder Returns
ICICIBANK,2020,Shareholder Returns,2021,Reinvestor
ICICIBANK,2021,Reinvestor,2022,Shareholder Returns
ICICIBANK,2022,Shareholder Returns,2023,Mixed
ICICIBANK,2023,Mixed,2024,Shareholder Returns
ICICIGI,2014,Shareholder Returns,2015,Pre-Revenue Growth
ICICIGI,2015,Pre-Revenue Growth,2016,Reinvestor
ICICIGI,2016,Reinvestor,2017,Shareholder Returns
ICICIGI,2017,Shareholder Returns,2018,Reinvestor
ICICIGI,2021,Reinvestor,2022,Liquidating Assets
ICICIGI,2022,Liquidating Assets,2023,Reinvestor
ICICIPRULI,2014,Pre-Revenue Growth,2015,Reinvestor
ICICIPRULI,2015,Reinvestor,2016,Liquidating Assets
ICICIPRULI,2016,Liquidating Assets,2017,Reinvestor
ICICIPRULI,2020,Reinvestor,2021,Shareholder Returns
ICICIPRULI,2021,Shareholder Returns,2022,Reinvestor
ICICIPRULI,2023,Reinvestor,2024,Pre-Revenue Growth
INDIGO,2014,Shareholder Returns,2015,Reinvestor
INDIGO,2017,Reinvestor,2018,Shareholder Returns
INDIGO,2018,Shareholder Returns,2019,Reinvestor
INDIGO,2020,Reinvestor,2021,Pre-Revenue Growth
INDIGO,2021,Pre-Revenue Growth,2022,Liquidating Assets
INDIGO,2022,Liquidating Assets,2023,Reinvestor
INDUSINDBK,2016,Mixed,2017,Reinvestor
INDUSINDBK,2017,Reinvestor,2018,Mixed
INDUSINDBK,2019,Mixed,2020,Distress Signal
INDUSINDBK,2020,Distress Signal,2021,Reinvestor
INDUSINDBK,2022,Reinvestor,2023,Mixed
INFY,2014,Reinvestor,2015,Liquidating Assets
INFY,2015,Liquidating Assets,2016,Reinvestor
INFY,2017,Reinvestor,2018,Liquidating Assets
INFY,2018,Liquidating Assets,2019,Reinvestor
IOC,2013,Shareholder Returns,2014,Reinvestor
IOC,2018,Reinvestor,2019,Shareholder Returns
IOC,2020,Shareholder Returns,2021,Reinvestor
IRCTC,2015,Reinvestor,2016,Liquidating Assets
IRCTC,2018,Liquidating Assets,2019,Reinvestor
IRCTC,2019,Reinvestor,2020,Liquidating Assets
IRCTC,2020,Liquidating Assets,2021,Reinvestor
IRFC,2020,Distress Signal,2021,Mixed / Unclassified
IRFC,2021,Mixed / Unclassified,2022,Mixed
IRFC,2022,Mixed,2023,Mixed / Unclassified
IRFC,2023,Mixed / Unclassified,2024,Reinvestor
